objectid;zipcode;poname;globalid;X;Y
34;37013;ANTIOCH;{811B4D2A-4121-4D5D-9F11-0852768E6C82};-86.636;36.042
21;37015;ASHLAND CITY;{2AB8F204-63EE-49A4-A806-8E1DAE1C32AA};-86.892;36.271
20;37015;ASHLAND CITY;{49D81E1C-5F08-414E-AED7-8C8F9714DD83};-86.947;36.246
44;37027;BRENTWOOD;{8846D4AC-5F8A-4434-8348-C9A28297FA4E};-86.679;35.988
27;37027;BRENTWOOD;{C9CFACC4-24C5-41CF-AA13-95D3D9E00B19};-86.683;35.992
30;37027;BRENTWOOD;{43DAA130-ADEE-4A0A-B744-BAE90D03E378};-86.695;36.004
11;37027;BRENTWOOD;{4720343A-5C23-4EAC-A6FB-D9BB984CDA92};-86.786;36.041
26;37027;BRENTWOOD;{4E216BBA-8DB0-4580-B23A-A8DEFA236A80};-86.682;35.991
43;37027;BRENTWOOD;{34D18982-5633-43FF-937D-F95601C1D82C};-86.732;36.01
28;37027;BRENTWOOD;{BB184041-B9A4-4A99-B27B-088E9EE189C3};-86.685;35.994
29;37027;BRENTWOOD;{1881A057-EB1A-4D60-8CBC-E02C107882D4};-86.726;36.009
31;37027;BRENTWOOD;{27617F67-1882-420F-B7B7-70CAFA6F88F9};-86.722;36.009
18;37064;FRANKLIN;{88D2C123-555C-4EF3-98AF-A6F5858729CB};-87.029;36
46;37072;GOODLETTSVILLE;{FD866D5C-A196-4C6E-9CFF-A04FD08B1657};-86.763;36.399
47;37072;GOODLETTSVILLE;{602D23F0-E018-411A-ADC6-D9D6FD7F8C05};-86.764;36.336
45;37072;GOODLETTSVILLE;{32A6F9A4-9A48-4359-BDC1-C9D2650C5B17};-86.857;36.379
53;37076;HERMITAGE;{D92E5ED0-D23B-46AF-8533-E58CD5C3E68F};-86.584;36.145
52;37076;HERMITAGE;{BCD97C0B-5331-40D2-ACF2-7E71147A61CE};-86.522;36.139
32;37080;JOELTON;{C63ADE44-CC5E-4CCD-BBF0-4B8A64864B42};-86.895;36.32
42;37080;JOELTON;{3FDB5A44-2ADD-4CFC-B897-8EA36D39E6E2};-86.863;36.38
5;37086;LA VERGNE;{1618FE99-089D-4ED0-BAFA-C29A19596F3D};-86.605;36.018
1;37115;MADISON;{9106A308-B672-4490-BB1E-665B225B9043};-86.695;36.254
40;37122;MOUNT JULIET;{86FB7F1E-71C4-40ED-B55A-A9B5D5258337};-86.566;36.144
41;37122;MOUNT JULIET;{41A9CF04-9F86-46BD-814A-E292A8A24312};-86.577;36.189
55;37218;NASHVILLE;{3CB897BE-ACCB-46CB-BA4E-6F5E39D6C451};-86.89;36.205
15;37219;NASHVILLE;{B531C81C-3919-4059-8444-23F5F0684ECA};-86.783;36.167
36;37240;NASHVILLE;{E08449BC-3E33-4532-B64D-13D27411C1B6};-86.802;36.147
13;37228;NASHVILLE;{4EEA623E-9916-48BE-9A3E-0026464C2F11};-86.804;36.195
4;37213;NASHVILLE;{0AEE60A7-8B42-43BA-ADD7-03BA47E50CF8};-86.769;36.167
12;37210;NASHVILLE;{0F9F7F39-9683-4872-92E9-9D8527FC760D};-86.733;36.144
48;37207;NASHVILLE;{9B931215-5390-4FCF-BDF4-9B017000CF27};-86.777;36.232
17;37221;NASHVILLE;{9243F089-0D19-45BB-A878-A096536F3C4C};-86.975;36.063
3;37216;NASHVILLE;{AD605C76-CB4C-4C6D-A40E-963CC2BD78E5};-86.726;36.216
6;37214;NASHVILLE;{8004575B-8C05-4004-8D13-42798369B4F4};-86.663;36.167
16;37205;NASHVILLE;{2E57ADBC-68BF-46C4-9D7B-17C791823521};-86.873;36.111
54;37212;NASHVILLE;{F41243FF-142E-44A5-A6CC-99FE8DED45AD};-86.802;36.133
2;37206;NASHVILLE;{E98044D0-5348-4368-8048-06782FF961B6};-86.731;36.181
33;37203;NASHVILLE;{0C5DE6D7-6108-445E-8738-5FE7E08E3F6B};-86.789;36.149
14;37201;NASHVILLE;{3EDAC1ED-7D0E-4F24-9024-80A8473F6C44};-86.777;36.166
39;37211;NASHVILLE;{AC97ACB9-0531-40AC-A8F0-7A7D891E7F30};-86.723;36.067
49;37207;NASHVILLE;{033309D4-7F85-4817-87C2-DA2095DEEB92};-86.787;36.287
35;37232;NASHVILLE;{13CE003C-C9F1-4F15-B6C3-908BE1FFBD7E};-86.802;36.141
57;37246;NASHVILLE;{9BCBC9FF-D473-486A-8927-B5445A293350};-86.791;36.159
8;37220;NASHVILLE;{4A37A300-8514-4AF7-B215-7D10E7082B46};-86.782;36.067
56;37217;NASHVILLE;{55AA0665-B3D0-4F9B-A017-738CF4777049};-86.661;36.108
10;37209;NASHVILLE;{53F678A2-D964-4451-AEFC-4125098B43AC};-86.918;36.156
9;37204;NASHVILLE;{088860BD-8E49-46FE-B035-CB401BBDA2F6};-86.775;36.106
38;37215;NASHVILLE;{B981AB4C-5B74-47B1-B9ED-24943D6E29DE};-86.834;36.082
37;37208;NASHVILLE;{CF9166C1-A8AA-4DEA-9601-9DE6C525DFFF};-86.808;36.177
7;37135;NOLENSVILLE;{D61B0DD5-3AD8-4978-B57A-0DD8A06C6F43};-86.637;35.981
